;projectID;topic;title
202;101071111;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-04;Novel routes to green hydrogen production
203;190154656;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
204;190138640;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-01;Strategic Digital and Health Technologies
205;190130497;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
206;101047289;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
207;190148354;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
208;190173479;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
209;101071105;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-03;Emerging Technologies in Cell and Gene therapy
210;190104075;HORIZON-EIC-2022-ACCELERATORCHALLENGES-02;EIC Accelerator Challenge: Technologies for ‘Fit for 55’
211;190195702;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
212;190126069;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
213;190167448;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
214;101098992;HORIZON-EIC-2022-TRANSITIONOPEN-01;EIC Transition Open 2022
215;190141232;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-01;Strategic Digital and Health Technologies
216;101046758;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
217;190101904;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
218;190121010;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
219;101097661;HORIZON-EIC-2022-TRANSITIONOPEN-01;EIC Transition Open 2022
220;190101116;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
221;190132248;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
222;101070741;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-04;Novel routes to green hydrogen production
223;101058278;HORIZON-EIC-2021-TRANSITIONCHALLENGES-01-01;Medical Technology and Devices: from Lab to Patient
224;190182727;HORIZON-EIC-2022-ACCELERATORCHALLENGES-02;EIC Accelerator Challenge: Technologies for ‘Fit for 55’
225;190143610;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
226;101046968;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
227;101046298;HORIZON-EIC-2021-NCP-01-01;Capacity-building and transnational cooperation for National Contact Points (NCPs)
228;101070908;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-02;Tools to measure and stimulate activity in Brain Tissue
229;190121193;HORIZON-EIC-2022-ACCELERATORCHALLENGES-01;EIC Accelerator Challenge: Technologies for Open Strategic Autonomy
