;projectID;topic;title
30050;673303;SC5-20-2014-1;Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials
30051;824825;INNOSUP-01-2018-2020;Cluster facilitated projects for new industrial value chains
30052;778062;MSCA-RISE-2017;Research and Innovation Staff Exchange
30053;738144;JTI-CS2-2016-CFP03-FRC-02-15;Advanced Health Monitoring System for next generation materials
30054;735196;SMEInst-09-2016-2017;Stimulating the innovation potential of SMEs for a low carbon and efficient energy system
30055;840894;MSCA-IF-2018;Individual Fellowships
30056;838426;MSCA-IF-2018;Individual Fellowships
30057;948063;ERC-2020-STG;ERC STARTING GRANTS
30058;945764;EIC-SMEInst-2018-2020;SME instrument
30059;101001250;ERC-2020-COG;ERC CONSOLIDATOR GRANTS
30060;828841;FETOPEN-01-2018-2019-2020;FET-Open Challenging Current Thinking
30061;736017;SMEInst-13-2016-2017;Engaging SMEs in security research and development
30062;694709;ERC-ADG-2015;ERC Advanced Grant
30063;706839;MSCA-IF-2015-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30064;693064;ERC-PoC-2015;ERC Proof of Concept Grant
30065;678309;ERC-StG-2015;ERC Starting Grant
30066;773161;ERC-2017-COG;ERC Consolidator Grant
30067;725920;ERC-2016-COG;ERC Consolidator Grant
30068;671868;ICT-37-2014-1;Open Disruptive Innovation Scheme (implemented through the SME instrument)
30069;685196;IT-1-2015-1;Small business innovation research for Transport
30070;683830;Space-SME-2015-1;SME Instrument
30071;795998;MSCA-IF-2017;Individual Fellowships
30072;731818;SESAR.IR-VLD.Wave1-27-2015;Initial Trajectory Information Sharing
30073;731601;ICT-18-2016;Big data PPP: privacy-preserving big data technologies
30074;679843;ERC-StG-2015;ERC Starting Grant
30075;694829;ERC-ADG-2015;ERC Advanced Grant
30076;867316;EIC-SMEInst-2018-2020;SME instrument
30077;807273;SMEInst-01-2016-2017;Open Disruptive Innovation Scheme
30078;793604;MSCA-IF-2017;Individual Fellowships
30079;637352;ERC-StG-2014;ERC Starting Grant
30080;822014;LC-SPACE-14-TEC-2018-2019;Earth observation technologies
30081;849921;EIC-SMEInst-2018-2020;SME instrument
30082;736261;SMEInst-10-2016-2017;Small business innovation research for Transport and Smart Cities Mobility
30083;790208;SMEInst-01-2016-2017;Open Disruptive Innovation Scheme
30084;754549;FETOPEN-04-2016-2017;FET Innovation Launchpad
30085;705499;MSCA-IF-2015-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30086;671500;FETHPC-1-2014;HPC Core Technologies, Programming Environments and Algorithms for Extreme Parallelism and Extreme Data Applications
30087;641388;ERC-PoC-2014;ERC Proof of Concept Grant
30088;790062;MSCA-IF-2017;Individual Fellowships
30089;733461;SMEInst-01-2016-2017;Open Disruptive Innovation Scheme
30090;866949;EIC-SMEInst-2018-2020;SME instrument
30091;681456;ERC-CoG-2015;ERC Consolidator Grant
30092;852526;ERC-2019-STG;ERC Starting Grant
30093;655283;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30094;771391;ERC-2017-COG;ERC Consolidator Grant
30095;724306;ERC-2016-COG;ERC Consolidator Grant
30096;788535;ERC-2017-ADG;ERC Advanced Grant
30097;679627;ERC-StG-2015;ERC Starting Grant
30098;679425;ERC-StG-2015;ERC Starting Grant
30099;672267;NMP-25-2014;Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs
30100;101002188;ERC-2020-COG;ERC CONSOLIDATOR GRANTS
30101;653019;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30102;711190;SIE-01-2015-1;Stimulating the innovation potential of SMEs for a low carbon energy system
30103;643924;ICT-01-2014;Smart Cyber-Physical Systems
30104;772268;ERC-2017-COG;ERC Consolidator Grant
30105;101019547;ERC-2020-ADG;ERC ADVANCED GRANT
30106;752671;MSCA-IF-2016;Individual Fellowships
30107;644859;ICT-18-2014;Support the growth of ICT innovative Creative Industries SMEs
30108;798824;MSCA-IF-2017;Individual Fellowships
30109;865170;ERC-2019-COG;ERC Consolidator Grant
30110;737576;ERC-PoC-2016;ERC-Proof of Concept-2016
30111;654367;EINFRA-1-2014;Managing, preserving and computing with big research data
30112;844296;MSCA-IF-2018;Individual Fellowships
30113;748716;MSCA-IF-2016;Individual Fellowships
30114;966696;ERC-2020-POC;Call for proposals for ERC Proof of Concept Grant
30115;791181;MSCA-IF-2017;Individual Fellowships
30116;852065;ERC-2019-STG;ERC Starting Grant
30117;835541;MSCA-IF-2018;Individual Fellowships
30118;679531;ERC-StG-2015;ERC Starting Grant
30119;659012;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30120;816703;EIC-SMEInst-2018-2020;SME instrument
30121;647289;ERC-CoG-2014;ERC Consolidator Grant
30122;809604;SMEInst-06-2016-2017;Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well
30123;889805;EIC-SMEInst-2018-2020;SME instrument
30124;811640;EIC-SMEInst-2018-2020;SME instrument
30125;770652;ERC-2017-COG;ERC Consolidator Grant
30126;687414;GALILEO-1-2015;EGNSS applications
30127;850925;ERC-2019-STG;ERC Starting Grant
30128;681652;ERC-CoG-2015;ERC Consolidator Grant
30129;714087;ERC-2016-STG;ERC Starting Grant
30130;101031499;MSCA-IF-2020;Individual Fellowships
